Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
GBT,2015-09-24,2019-11-07,7,2015-08-12,2020-07-10,320368.437,409248.015
IRM,2008-05-09,2019-10-31,36,2005-07-18,2020-07-10,319520.509,450465.392
ERI,2014-11-14,2016-11-09,7,2014-09-22,2020-07-10,318721.817,236465.617
TRMB,2008-11-04,2012-08-07,11,2005-07-15,2020-07-10,317659.544,365573.631
NEWR,2015-02-12,2019-08-06,14,2014-12-12,2020-07-10,317445.556,318441.491
REG,2011-05-12,2019-05-10,24,2005-07-15,2020-07-10,317306.289,482519.764
BC,2012-05-04,2019-10-30,24,2005-07-15,2020-07-10,316371.023,477857.522
OIS,2008-05-01,2019-10-28,16,2005-07-15,2020-07-10,316356.376,222771.727
EXR,2008-05-07,2014-08-07,21,2005-07-15,2020-07-10,315157.215,656749.118
GWRE,2012-12-03,2019-12-05,23,2012-01-25,2020-07-10,314919.965,402783.467
SPWR,2009-05-08,2019-10-30,31,2008-09-22,2020-07-10,314844.315,214897.442
LYV,2009-05-07,2019-10-31,23,2005-12-14,2020-07-10,313981.659,663688.188
PLCE,2009-06-04,2019-12-11,5,2005-07-15,2020-07-10,310094.899,521445.148
MOH,2008-05-08,2019-10-30,28,2005-07-15,2020-07-10,308989.512,753787.383
SGEN,2015-05-01,2019-10-29,8,2005-07-15,2020-07-10,306740.715,502919.569
SSNC,2010-05-14,2015-11-09,7,2010-03-31,2020-07-10,306365.117,578895.326
AIV,2008-05-02,2018-08-06,11,2005-07-15,2020-07-10,306196.258,323956.462
PKI,2008-05-09,2019-11-05,36,2005-07-15,2020-07-10,305100.602,377806.945
SEAS,2013-05-23,2018-11-06,17,2013-04-19,2020-07-10,304977.726,302856.201
BR,2011-02-08,2019-11-06,8,2007-03-22,2020-07-10,302199.567,516783.85
CTLT,2019-02-05,2019-05-07,2,2014-07-31,2020-07-10,302126.27,321707.222
R,2008-04-23,2019-07-30,35,2005-07-15,2020-07-10,301697.494,339821.485
NAVI,2014-05-09,2019-11-01,16,2014-04-17,2020-07-10,301068.303,386155.108
MYGN,2010-11-03,2019-05-07,23,2005-07-15,2020-07-10,300248.274,219817.568
ODFL,2011-05-09,2018-11-05,24,2005-07-15,2020-07-10,299921.736,624500.802
PS,2018-08-01,2019-10-30,5,2018-05-17,2020-07-10,299149.964,202350.239
NVRO,2014-12-02,2019-05-09,14,2014-11-06,2020-07-10,298740.356,285077.552
SNV,2008-05-12,2019-11-05,37,2005-07-15,2020-07-10,297856.451,299540.954
MD,2010-08-03,2019-08-01,21,2009-01-02,2020-07-10,297714.044,482469.534
LPI,2012-05-09,2019-11-06,25,2011-12-15,2020-07-10,297633.869,319316.786
CAKE,2008-04-24,2019-11-08,35,2005-07-15,2020-07-10,297618.757,446515.351
HGV,2017-05-04,2017-05-04,1,2016-12-14,2020-07-10,296151.04,327115.107
ARW,2008-04-24,2011-07-27,6,2005-07-15,2020-07-10,296033.977,286109.81
CPT,2008-05-02,2019-11-01,31,2005-07-15,2020-07-10,294906.42,406822.174
AGIO,2017-08-08,2019-10-31,8,2013-07-24,2020-07-10,293949.587,280616.293
CRL,2008-05-07,2019-11-06,36,2005-07-15,2020-07-10,293585.044,321483.152
RNR,2012-05-03,2015-11-05,12,2005-07-15,2020-07-10,293469.773,369787.376
LII,2008-08-01,2019-10-21,29,2005-07-15,2020-07-10,292857.625,497154.88
HAIN,2009-11-09,2019-11-07,31,2005-07-15,2020-07-10,292549.435,462289.609
IT,2008-05-08,2019-10-31,34,2005-07-15,2020-07-10,292534.605,683302.711
NKTR,2008-05-08,2019-05-08,14,2005-07-15,2020-07-10,292359.777,1809760.89
AAOI,2017-05-09,2019-11-07,9,2013-09-26,2020-07-10,290577.361,572214.121
GRA,2008-05-09,2019-11-07,36,2005-07-15,2020-07-10,288817.763,478074.256
CVET,2019-05-15,2019-11-12,3,2019-02-05,2020-07-10,287872.196,378963.717
CHS,2008-05-28,2019-11-27,36,2005-07-15,2020-07-10,287430.7,209163.762
ACM,2008-02-13,2019-08-07,37,2007-05-10,2020-07-10,287096.822,288656.941
WEN,2008-05-09,2019-11-06,28,2005-07-15,2020-07-10,286126.903,533332.614
MIK,2014-08-29,2019-12-06,17,2014-06-27,2020-07-10,285654.303,386497.921
PEN,2015-11-12,2019-11-07,13,2015-09-18,2020-07-10,285021.473,224232.961
LAMR,2008-05-08,2013-11-06,12,2005-07-15,2020-07-10,284762.093,297882.192
PRAH,2015-05-07,2019-10-31,15,2014-11-13,2020-07-10,284527.93,363981.185
CSGP,2012-04-26,2019-10-23,24,2005-07-15,2020-07-10,284343.559,569013.498
AOS,2008-05-02,2019-11-06,26,2005-07-15,2020-07-10,284327.673,477258.64
ALKS,2011-11-03,2018-10-23,22,2005-07-15,2020-07-10,284006.143,454870.025
ACGL,2008-08-08,2015-11-09,20,2005-07-15,2020-07-10,283800.006,438991.099
IPGP,2008-05-12,2019-11-05,34,2006-12-13,2020-07-10,282055.392,884094.67
GLPI,2013-11-25,2019-11-01,21,2013-10-14,2020-07-10,280712.973,291315.759
NUS,2008-08-08,2018-08-02,16,2005-07-15,2020-07-10,280595.806,253028.615
AJG,2008-04-28,2016-10-28,27,2005-07-15,2020-07-10,279056.3,546469.24
ACHC,2011-11-14,2017-07-28,15,2011-11-02,2020-07-10,278366.839,402985.589
ENR,2015-08-11,2019-08-07,13,2015-06-12,2020-07-10,277697.267,326407.622
WLK,2018-11-06,2019-11-06,4,2005-07-15,2020-07-10,277306.917,673680.396
LEG,2012-11-08,2019-11-05,22,2005-07-15,2020-07-10,276809.131,433979.486
BKD,2008-05-08,2019-11-05,26,2005-11-22,2020-07-10,275377.223,240687.618
MDRX,2008-05-12,2019-05-03,13,2005-07-15,2020-07-10,275289.457,249629.556
SC,2014-08-07,2019-10-31,21,2014-01-23,2020-07-10,274557.548,316605.681
PDCO,2008-03-06,2019-12-05,36,2005-07-15,2020-07-10,270959.799,462393.725
VVV,2017-02-13,2018-08-02,6,2016-09-23,2020-07-10,270899.919,310833.446
THO,2008-03-10,2011-03-10,10,2005-07-15,2020-07-10,269495.448,887138.649
LNT,2012-08-03,2019-11-07,23,2005-07-15,2020-07-10,268829.149,555013.208
TFX,2009-07-27,2019-08-01,24,2005-07-15,2020-07-10,268517.37,576591.887
HQY,2014-09-12,2019-12-05,17,2014-07-31,2020-07-10,268137.071,277569.422
SBH,2008-02-07,2019-05-01,35,2006-11-13,2020-07-10,267887.212,328602.761
SUM,2015-05-05,2019-10-30,15,2015-03-12,2020-07-10,267322.745,344798.064
PD,2019-06-07,2019-12-06,3,2019-04-11,2020-07-10,266723.209,261628.659
DAN,2008-05-12,2019-10-30,28,2008-02-01,2020-07-10,266323.053,332345.951
ESI,2014-11-14,2019-08-02,15,2014-01-23,2020-07-10,264219.384,325948.401
EXEL,2013-05-07,2019-10-30,21,2005-07-15,2020-07-10,263927.519,759467.353
RARE,2014-05-12,2019-05-06,16,2014-01-31,2020-07-10,263090.251,226028.536
PDCE,2008-05-12,2019-11-06,33,2005-07-18,2020-07-10,262285.473,436423.046
CDEV,2016-05-04,2019-11-04,12,2016-04-15,2020-07-10,261843.711,359303.649
LIVN,2015-11-06,2019-10-30,15,2015-10-19,2020-07-10,261583.905,287471.688
SYNH,2015-04-27,2019-08-05,15,2014-11-07,2020-07-10,260913.537,374932.441
CINF,2008-04-30,2019-10-25,23,2005-07-15,2020-07-10,260102.785,296661.168
MTDR,2012-05-15,2019-11-01,24,2012-02-02,2020-07-10,258831.97,370581.87
CENX,2009-08-10,2019-11-08,30,2005-07-15,2020-07-10,258161.234,380942.762
AGO,2008-05-09,2019-11-08,38,2005-07-15,2020-07-10,258004.045,318977.799
EPAM,2012-05-09,2019-11-07,24,2012-02-08,2020-07-10,257272.243,268423.948
MAA,2012-05-04,2019-05-02,22,2005-07-15,2020-07-10,256072.974,507826.544
LL,2009-11-04,2019-11-05,27,2007-11-09,2020-07-10,255937.181,241981.788
CHGG,2014-05-09,2019-11-04,18,2013-11-13,2020-07-10,255877.955,210760.388
H,2011-11-02,2019-10-31,26,2009-11-05,2020-07-10,254409.168,511403.299
PBI,2008-11-07,2019-11-05,34,2005-07-15,2020-07-10,251105.96,202358.281
BYD,2010-10-27,2019-11-07,28,2005-07-15,2020-07-10,250887.397,418992.23
MTN,2008-03-10,2019-12-09,35,2005-07-15,2020-07-10,249036.734,668970.298
NBIX,2008-05-01,2019-04-29,20,2005-07-15,2020-07-10,246801.015,552087.669
WRB,2008-08-08,2019-11-07,31,2006-11-16,2020-07-10,246611.337,226729.37
TKR,2008-05-09,2019-10-31,33,2005-07-15,2020-07-10,246108.648,284324.757
PRSP,2018-08-14,2019-11-13,5,2018-05-24,2020-07-10,245644.627,355316.26
GES,2008-06-11,2012-12-05,15,2005-07-15,2020-07-10,245319.025,232031.007
BAH,2011-02-10,2014-01-31,6,2010-11-17,2020-07-10,244066.35,270218.815
MIDD,2011-08-11,2019-11-07,24,2005-07-15,2020-07-10,243922.545,639511.516
TCO,2008-04-30,2019-10-30,36,2005-07-15,2020-07-10,243691.986,368053.869
CARS,2017-06-20,2019-05-10,6,2017-05-18,2020-07-10,243551.608,349800.061
LOGM,2009-08-06,2015-07-24,15,2009-07-02,2020-07-10,242037.337,515728.213
EWBC,2009-08-10,2019-11-08,21,2005-07-15,2020-07-10,241790.487,430421.478
GNTX,2009-05-04,2018-05-04,20,2005-07-15,2020-07-10,241400.873,391654.618
OHI,2009-05-08,2019-11-08,19,2005-07-15,2020-07-10,241336.645,506888.759
ESPR,2013-08-12,2019-11-06,20,2013-06-26,2020-07-10,240717.802,393251.595
PCRX,2011-08-11,2019-11-07,25,2011-02-03,2020-07-10,240116.242,292167.786
OLN,2012-07-24,2019-11-01,23,2005-07-15,2020-07-10,239489.309,519560.89
UNIT,2015-05-13,2019-11-07,15,2015-04-20,2020-07-10,239476.852,342737.883
NNN,2008-05-07,2011-11-08,8,2005-07-15,2020-07-10,239358.792,290441.392
SONO,2018-09-11,2019-08-08,4,2018-08-02,2020-07-10,239303.334,242022.568
RGA,2008-05-02,2019-11-01,32,2005-07-15,2020-07-10,237970.627,385001.226
JHG,2017-08-08,2019-10-30,7,2017-05-30,2020-07-10,237086.781,213538.749
DRQ,2016-04-25,2019-10-24,12,2005-07-15,2020-07-10,237012.667,213442.727
BLMN,2012-09-05,2019-11-07,23,2012-08-08,2020-07-10,236722.957,258637.933
CFX,2008-06-16,2019-10-31,24,2008-05-08,2020-07-10,236139.322,245915.142
MUSA,2013-11-08,2019-10-31,19,2013-08-19,2020-07-10,235484.222,225056.642
AVYA,2018-03-02,2019-08-13,6,2017-12-19,2020-07-10,235030.554,229674.398
RDFN,2017-09-08,2019-11-06,8,2017-07-28,2020-07-10,234179.192,210225.36
STWD,2010-08-09,2019-05-08,22,2009-08-12,2020-07-10,229558.934,283070.258
KRC,2009-10-27,2019-10-24,27,2005-07-15,2020-07-10,228544.622,301344.726
SAFM,2008-02-26,2019-08-29,35,2005-07-15,2020-07-10,228185.435,578196.419
CLNY,2017-05-10,2019-11-08,9,2017-01-11,2020-07-10,228036.893,390572.56
REZI,2018-11-13,2019-05-08,2,2018-10-15,2020-07-10,227985.631,312953.363
STE,2019-08-07,2019-11-07,2,2005-07-15,2020-07-10,227390.58,265534.772
UNVR,2019-11-05,2019-11-05,1,2015-06-18,2020-07-10,226317.731,229332.21
UFS,2008-05-09,2018-11-08,33,2007-03-07,2020-07-10,225032.67,237857.141
AXL,2008-04-25,2019-11-01,37,2005-07-15,2020-07-10,224110.27,347611.71
NUVA,2008-05-09,2019-10-30,17,2005-07-15,2020-07-10,223821.7,393773.77
SEIC,2013-04-26,2019-10-24,21,2005-07-15,2020-07-10,223454.15,347843.625
EV,2008-06-05,2019-06-05,24,2005-07-15,2020-07-10,222601.725,258755.085
KMT,2008-11-06,2019-11-06,28,2005-07-15,2020-07-10,222472.587,341983.473
OGE,2008-10-31,2019-11-06,31,2005-07-15,2020-07-10,222277.824,378602.596
KDP,2008-11-13,2019-11-07,29,2008-04-28,2020-07-10,222064.385,229601.906
ARNA,2008-05-12,2019-05-09,16,2005-07-15,2020-07-10,221214.564,282466.374
ATO,2008-02-06,2017-08-02,17,2005-07-15,2020-07-10,220618.046,352395.032
CSL,2010-04-27,2018-07-26,24,2005-07-15,2020-07-10,220440.876,364950.869
CFR,2010-04-28,2019-10-31,29,2005-07-15,2020-07-10,219511.688,320237.887
WEX,2008-01-31,2019-11-08,38,2005-07-15,2020-07-10,219416.279,457773.412
BH,2018-05-04,2019-11-01,6,2010-04-09,2020-07-10,219384.302,259721.875
TWOU,2014-05-12,2019-11-12,19,2014-03-28,2020-07-10,218333.477,302942.153
CASY,2008-12-05,2019-12-09,19,2005-07-15,2020-07-10,217728.923,414711.01
AAXN,2008-11-07,2019-11-07,29,2005-07-15,2020-07-10,217439.254,324541.862
IEX,2008-11-10,2019-10-30,26,2005-07-15,2020-07-10,217392.757,295164.603
CMC,2008-01-09,2019-06-27,33,2005-07-15,2020-07-10,217201.43,320234.567
DEI,2010-08-05,2019-11-08,29,2006-10-25,2020-07-10,216339.092,244314.538
HXL,2008-04-30,2019-04-23,34,2005-07-15,2020-07-10,215991.33,278442.773
MSM,2008-01-10,2019-07-10,36,2005-07-15,2020-07-10,215742.372,379170.794
JKHY,2010-11-05,2019-11-08,27,2005-07-15,2020-07-10,215000.52,290054.65
LSTR,2008-05-02,2019-11-01,29,2005-07-15,2020-07-10,214154.427,231245.408
UGI,2008-02-08,2019-08-06,32,2005-07-15,2020-07-10,213320.544,287806.832
NYT,2011-05-05,2019-11-06,27,2005-07-15,2020-07-10,213205.698,397362.141
CGNX,2008-04-28,2019-10-28,34,2005-07-15,2020-07-10,212587.35,967843.36
IRBT,2008-05-05,2019-10-31,34,2005-11-09,2020-07-10,212398.412,586438.413
CBRL,2010-12-06,2011-11-22,2,2005-07-15,2020-07-10,211354.96,336526.406
AL,2011-05-16,2019-11-07,26,2011-04-19,2020-07-10,211036.666,243930.446
MASI,2012-11-01,2019-10-30,19,2007-08-08,2020-07-10,210171.727,322841.354
SMG,2008-02-07,2019-08-07,31,2005-07-15,2020-07-10,209863.514,394340.58
FTDR,2018-11-06,2018-11-06,1,2018-09-13,2020-07-10,209327.303,216635.231
BWXT,2011-05-09,2017-05-01,14,2010-07-12,2020-07-10,209318.113,264043.023
TEN,2009-08-06,2019-11-05,27,2005-07-15,2020-07-10,208701.529,239007.494
LAZ,2008-11-03,2018-07-30,18,2005-07-15,2020-07-10,208384.53,288461.649
LTHM,2018-11-06,2019-11-06,4,2018-10-11,2020-07-10,207654.668,268533.744
THS,2008-05-08,2019-11-07,36,2005-07-15,2020-07-10,206681.875,371311.032
GPK,2008-05-09,2019-10-22,36,2005-07-15,2020-07-10,206378.973,428652.999
RPM,2008-01-09,2016-04-06,19,2005-07-15,2020-07-10,206146.247,393992.645
EHC,2009-05-06,2019-10-31,31,2006-10-26,2020-07-10,205982.131,287766.346
DBI,2008-06-12,2019-12-10,30,2005-07-15,2020-07-10,205685.901,332546.273
BPOP,2008-05-12,2019-05-10,33,2005-07-15,2020-07-10,205069.831,325317.393
TPH,2014-05-06,2015-08-10,4,2013-01-31,2020-07-10,204862.945,288852.47
PFGC,2017-11-08,2019-05-08,3,2015-10-01,2020-07-10,204601.942,200065.027
BRO,2008-11-10,2019-10-30,32,2005-07-15,2020-07-10,202965.039,246184.916
PTCT,2013-08-13,2019-10-29,20,2013-06-20,2020-07-10,201583.617,213582.05
PODD,2010-08-09,2019-11-05,16,2007-05-15,2020-07-10,200393.543,301664.925
MTZ,2008-04-29,2012-11-01,10,2005-07-15,2020-07-10,198884.266,409795.228
PUMP,2017-05-12,2019-05-08,7,2017-03-17,2020-07-10,198549.828,307607.685
CNK,2008-05-09,2019-05-07,24,2007-04-24,2020-07-10,196894.816,379584.251
AZPN,2009-02-19,2019-10-30,33,2005-07-15,2020-07-10,196790.763,251783.738
SGMS,2008-05-12,2019-11-07,37,2005-07-15,2020-07-10,196701.659,369908.138
CVLT,2008-02-07,2019-10-30,35,2006-09-22,2020-07-10,196590.82,266945.503
HRC,2009-02-05,2017-07-28,10,2005-07-15,2020-07-10,195998.675,318046.841
BPMC,2019-08-01,2019-11-05,2,2015-04-30,2020-07-10,193805.571,290939.413
STMP,2011-05-10,2019-11-12,17,2005-07-15,2020-07-10,190690.575,586816.273
CPE,2008-05-09,2019-11-04,34,2005-07-15,2020-07-10,190322.878,553766.814
EDIT,2016-05-13,2019-11-12,12,2016-02-04,2020-07-10,189496.627,381488.188
ACC,2009-11-06,2019-11-01,20,2005-07-15,2020-07-10,189467.353,270761.929
IPHI,2011-05-04,2019-11-04,24,2010-11-11,2020-07-10,189048.49,245499.942
AWI,2008-05-01,2019-04-29,34,2006-10-11,2020-07-10,188520.624,220299.197
SBGI,2008-05-09,2019-11-12,30,2005-07-15,2020-07-10,187596.952,382337.205
SCI,2008-05-09,2019-10-31,34,2005-07-15,2020-07-10,187187.162,347277.635
TXRH,2008-05-01,2019-11-01,33,2005-07-15,2020-07-10,186588.217,330767.422
OSTK,2008-08-04,2019-11-12,36,2005-07-15,2020-07-10,186544.769,1577029.623
ESNT,2014-05-15,2019-11-08,18,2013-10-31,2020-07-10,185007.954,301442.311
VAC,2011-12-07,2019-11-12,25,2011-11-08,2020-07-10,182688.365,247874.567
UNFI,2010-12-09,2019-12-11,28,2005-07-15,2020-07-10,182335.686,254214.45
COHR,2008-01-31,2019-08-07,36,2005-07-15,2020-07-10,182243.695,940012.591
HUBB,2008-04-25,2019-10-30,32,2005-07-15,2020-07-10,181700.635,387876.892
MPW,2008-05-09,2018-11-09,27,2005-07-15,2020-07-10,181458.563,227587.865
TYL,2008-04-24,2019-10-30,17,2005-07-15,2020-07-10,180884.837,319913.256
MKTX,2008-05-12,2019-04-25,29,2005-07-15,2020-07-10,179979.608,352064.044
ADT,2018-05-09,2019-11-12,6,2018-01-19,2020-07-10,178762.728,330853.976
BKU,2011-05-16,2019-11-08,27,2011-01-31,2020-07-10,178370.14,270506.924
EEFT,2008-05-09,2019-11-07,36,2005-07-15,2020-07-10,178349.675,392346.951
GMED,2012-08-21,2019-11-06,23,2012-08-03,2020-07-10,178335.211,265513.235
SSP,2008-05-12,2019-11-08,36,2005-07-15,2020-07-10,178129.664,363216.972
TWO,2010-05-06,2019-11-06,30,2009-10-29,2020-07-10,178051.024,215988.523
CWH,2016-11-10,2019-11-12,13,2016-10-07,2020-07-10,177950.447,306091.036
STL,2015-05-08,2019-11-01,15,2011-12-28,2020-07-10,177770.799,464348.511
TMHC,2013-05-15,2019-10-30,21,2013-04-10,2020-07-10,176927.31,297619.68
FGEN,2015-05-12,2019-11-12,14,2014-11-14,2020-07-10,176758.711,243500.079
PZZA,2008-05-06,2019-11-06,31,2005-07-15,2020-07-10,174871.572,444557.545
VSH,2019-07-31,2019-10-29,2,2005-07-15,2020-07-10,173279.922,281155.051
DY,2008-03-05,2019-11-27,30,2005-07-15,2020-07-10,172358.151,452805.927
WSO,2010-05-07,2019-05-09,20,2005-07-15,2020-07-10,172026.304,314642.625
BFAM,2013-05-10,2019-11-06,21,2013-01-25,2020-07-10,171377.219,200807.995
ASB,2008-05-07,2015-10-30,18,2005-07-15,2020-07-10,170395.71,266838.736
AMC,2014-05-07,2019-11-07,18,2013-12-18,2020-07-10,169745.264,256124.945
WST,2008-05-08,2019-10-28,36,2005-07-15,2020-07-10,169342.28,292309.956
LGND,2012-08-08,2014-10-31,3,2005-07-15,2020-07-10,168675.582,317340.839
TSE,2014-08-11,2019-11-05,14,2014-06-12,2020-07-10,168022.021,222954.128
SKT,2011-05-09,2019-11-04,28,2005-07-15,2020-07-10,166596.18,275775.196
GGG,2010-07-21,2019-10-23,19,2005-07-15,2020-07-10,166083.659,255380.286
FLO,2008-05-29,2018-11-07,29,2005-07-15,2020-07-10,165804.638,223145.546
RLJ,2011-06-22,2019-11-08,26,2011-05-11,2020-07-10,165703.219,236463.24
HHC,2010-11-23,2019-11-04,19,2010-11-05,2020-07-10,164992.978,255042.214
NDSN,2008-03-10,2018-03-05,10,2005-07-15,2020-07-10,164927.974,246580.855
CTB,2008-05-08,2019-10-28,20,2005-07-15,2020-07-10,164716.692,204968.814
TTC,2010-06-04,2019-09-05,26,2005-07-15,2020-07-10,164407.809,276669.208
SNBR,2008-05-08,2019-10-25,36,2005-07-15,2020-07-10,164246.657,212640.366
LECO,2008-07-31,2019-10-30,33,2005-07-15,2020-07-10,163538.927,283471.263
HAE,2008-02-06,2019-11-01,36,2005-07-15,2020-07-10,163330.553,265633.3
BIO,2011-08-03,2019-11-01,26,2005-07-15,2020-07-10,163016.576,316436.31
TREE,2008-09-22,2019-10-30,36,2008-08-12,2020-07-10,162721.611,486220.706
TCBI,2008-05-02,2008-10-30,3,2005-07-15,2020-07-10,162156.502,336440.238
TDY,2008-05-02,2019-10-25,27,2005-07-15,2020-07-10,161742.364,210049.269
AERI,2014-05-13,2019-11-06,18,2013-10-25,2020-07-10,159044.74,211858.006
JELD,2017-05-12,2019-11-06,9,2017-01-27,2020-07-10,158572.214,234643.012
PEB,2010-05-06,2019-10-24,30,2009-12-09,2020-07-10,158479.27,206919.306
G,2008-08-14,2009-11-09,5,2007-08-02,2020-07-10,157527.468,231947.479
HPP,2018-11-02,2019-10-31,4,2010-06-24,2020-07-10,157427.777,266998.173
EME,2010-04-29,2011-10-27,5,2005-07-15,2020-07-10,157398.701,216449.644
ELS,2008-05-07,2019-10-29,29,2005-07-15,2020-07-10,156188.306,242786.077
SHO,2010-08-06,2019-11-05,29,2005-07-15,2020-07-10,154732.274,254390.062
WBS,2008-05-08,2019-11-01,26,2005-07-15,2020-07-10,154354.896,233334.652
DBD,2008-09-30,2019-10-29,38,2005-07-15,2020-07-10,154333.005,213646.94
JCOM,2010-11-04,2019-11-08,20,2005-07-15,2020-07-10,153706.71,204853.327
CUZ,2008-05-12,2019-10-23,32,2005-07-15,2020-07-10,152959.209,283661.764
AFG,2010-08-09,2019-11-05,29,2005-07-15,2020-07-10,152729.052,247808.316
IBKR,2008-08-08,2019-11-12,33,2007-05-04,2020-07-10,152411.391,376295.645
ANAB,2017-05-11,2019-11-08,9,2017-01-26,2020-07-10,151723.409,288176.287
BDC,2008-05-08,2019-11-04,20,2005-07-15,2020-07-10,151566.313,224590.954
PB,2008-05-09,2019-05-07,20,2005-07-15,2020-07-10,151322.442,221730.759
QTS,2014-05-07,2019-11-08,18,2013-10-09,2020-07-10,150925.81,222023.165
COR,2012-07-27,2019-11-01,21,2010-09-23,2020-07-10,150795.866,287490.369
POOL,2008-05-01,2019-07-31,35,2005-07-15,2020-07-10,150655.26,235794.781
SAM,2008-05-06,2019-07-25,28,2005-07-15,2020-07-10,150619.608,224371.969
BCO,2015-07-30,2019-10-23,14,2005-07-15,2020-07-10,150441.214,299867.848
CHE,2009-07-31,2019-05-02,19,2005-07-15,2020-07-10,148970.729,206572.856
BECN,2008-02-08,2017-08-03,12,2005-07-15,2020-07-10,148309.007,352157.972
POR,2008-05-07,2019-10-31,32,2006-03-31,2020-07-10,147404.819,257499.024
HIW,2008-05-09,2019-10-22,29,2005-07-15,2020-07-10,147326.602,233703.081
OFC,2008-05-12,2019-11-01,35,2005-07-15,2020-07-10,145293.592,207113.802
MANH,2008-05-09,2014-04-29,10,2005-07-15,2020-07-10,144879.801,254813.086
WERN,2011-08-09,2019-11-06,26,2005-07-15,2020-07-10,144733.07,270218.987
RES,2015-10-30,2019-05-02,9,2005-07-15,2020-07-10,144366.335,285862.001
AAN,2008-05-06,2019-11-04,32,2005-07-15,2020-07-10,143898.64,297590.215
CACC,2008-04-29,2019-11-01,23,2005-07-15,2020-07-10,143228.999,389641.502
MKSI,2008-05-08,2019-05-08,19,2005-07-15,2020-07-10,143203.559,478621.105
BDN,2008-05-09,2019-10-24,30,2005-07-15,2020-07-10,142948.653,213121.82
SUI,2009-05-08,2012-10-25,4,2005-07-15,2020-07-10,141796.109,263663.653
RP,2010-11-05,2019-11-08,22,2010-08-12,2020-07-10,141094.024,227142.49
GSKY,2018-08-10,2019-11-14,5,2018-05-24,2020-07-10,139935.489,244404.013
UMPQ,2008-08-07,2019-11-06,31,2005-07-15,2020-07-10,139919.121,290125.909
GDOT,2010-08-12,2019-11-12,29,2010-07-22,2020-07-10,139526.319,202596.874
MPWR,2008-07-31,2019-11-01,9,2005-07-15,2020-07-10,139203.061,253609.173
DRH,2008-04-29,2010-07-27,11,2005-07-15,2020-07-10,138903.166,215181.846
EVR,2008-08-07,2019-10-31,28,2006-08-11,2020-07-10,138688.535,323987.948
ENTG,2008-08-07,2019-10-24,33,2005-07-15,2020-07-10,138369.21,276856.75
MIC,2008-05-08,2019-10-31,35,2005-07-15,2020-07-10,135946.004,483902.424
CBSH,2011-11-04,2019-11-04,25,2005-07-15,2020-07-10,135645.942,204030.544
LSI,2010-05-07,2011-05-06,3,2005-07-15,2020-07-10,135432.252,294161.363
SON,2008-04-29,2011-11-02,9,2005-07-15,2020-07-10,135070.574,203625.256
VNE,2018-07-27,2019-10-23,5,2018-06-11,2020-07-10,132624.518,216396.626
ICHR,2017-08-11,2019-11-06,7,2016-12-09,2020-07-10,131742.026,298422.076
EPR,2008-04-30,2019-10-30,35,2005-07-15,2020-07-10,131317.181,220483.385
FR,2008-05-06,2019-10-25,25,2005-07-15,2020-07-10,131019.372,213491.161
MDP,2011-10-26,2019-11-12,24,2005-07-15,2020-07-10,130225.474,275514.649
IART,2008-08-11,2019-10-25,33,2005-07-15,2020-07-10,130182.896,291418.741
AMRX,2018-05-15,2019-11-06,6,2018-05-07,2020-07-10,129440.906,217862.664
SGH,2017-06-29,2019-12-20,8,2017-05-24,2020-07-10,129428.73,232817.321
HR,2008-05-05,2019-11-04,29,2005-07-15,2020-07-10,129321.799,212302.853
NTGR,2008-11-07,2009-08-06,2,2005-07-15,2020-07-10,129163.73,214633.585
CW,2008-08-08,2019-08-01,24,2005-07-15,2020-07-10,128993.169,214054.054
SBRA,2011-05-05,2019-10-30,27,2010-11-08,2020-07-10,128162.471,262801.528
LAD,2008-08-18,2019-10-25,13,2005-07-15,2020-07-10,128073.974,217722.526
VSAT,2008-02-06,2018-08-09,32,2005-07-15,2020-07-10,127196.536,231249.65
IRWD,2010-05-14,2019-10-31,29,2010-02-03,2020-07-10,126767.492,200312.325
MTSI,2012-08-07,2019-08-06,11,2012-03-15,2020-07-10,125987.586,268258.015
MMS,2008-02-08,2019-02-07,34,2005-07-15,2020-07-10,125684.956,215975.689
WAL,2008-05-12,2016-04-29,13,2005-07-15,2020-07-10,122361.719,298067.498
OMI,2011-07-29,2019-11-06,20,2005-07-15,2020-07-10,121327.494,201620.263
FOLD,2008-05-13,2019-11-12,27,2007-05-31,2020-07-10,120612.246,375824.323
SUPN,2012-06-08,2019-11-08,27,2012-05-01,2020-07-10,119783.882,242959.561
LGIH,2013-12-18,2019-11-05,19,2013-11-07,2020-07-10,119772.666,214818.817
ROL,2008-07-28,2018-07-27,11,2005-07-15,2020-07-10,115435.676,241409.564
IMMU,2015-11-04,2019-10-30,13,2005-07-15,2020-07-10,115431.947,372884.841
HWC,2008-08-06,2019-11-08,28,2005-07-15,2020-07-10,115145.526,211652.854
IIVI,2008-02-07,2013-05-09,16,2005-07-15,2020-07-10,113036.292,299459.559
FNB,2008-05-12,2019-11-07,36,2005-07-15,2020-07-10,112209.222,292050.165
VLY,2008-05-09,2019-11-07,33,2005-07-15,2020-07-10,112151.678,228468.54
PNM,2010-08-09,2019-11-01,29,2005-07-15,2020-07-10,111907.065,208968.905
