Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A
LENS,2015-05-15 15:49:05,2015-05-15 15:49:05,1
LEPX,2017-07-03 13:37:04,2019-12-26 14:33:01,8
LEU,2008-04-30 11:17:02,2019-11-08 16:47:04,33
LEVL,2018-06-01 10:08:04,2019-11-08 10:19:02,6
LFAP,2015-05-20 15:43:05,2019-11-14 14:22:01,10
LFIN,2018-05-04 14:27:00,2018-08-13 06:32:00,3
LFUS,2008-05-06 15:45:00,2019-10-30 14:33:05,15
LFVN,2008-11-14 17:00:02,2019-05-01 16:08:03,32
LGC,2019-11-12 16:40:04,2019-11-12 16:40:04,1
LGF-A,2009-11-09 16:31:02,2019-11-07 16:37:00,31
LGF-B,2009-11-09 16:31:02,2019-11-07 16:37:00,31
LGIH,2013-12-18 18:36:01,2019-11-05 17:12:01,19
LGL,2008-11-14 08:13:05,2014-11-14 16:32:01,5
LGND,2012-08-08 17:21:01,2014-10-31 16:23:04,3
LGYV,2015-03-16 21:55:00,2015-03-16 21:55:00,1
LH,2008-04-30 10:37:00,2019-10-31 16:27:02,35
LHC-UN,2018-11-09 16:28:02,2019-11-12 16:31:05,4
LHC-WT,2018-11-09 16:28:02,2019-11-12 16:31:05,4
LHC,2018-11-09 16:28:02,2019-11-12 16:31:05,4
LHCG,2008-05-09 15:46:03,2019-11-07 16:33:05,37
LHIL,2018-08-10 06:11:02,2019-09-19 06:10:05,5
LHO,2008-04-23 16:43:03,2017-10-19 16:24:04,10
LHX,2008-02-05 14:57:00,2019-10-31 16:43:05,36
LIFE,2015-06-18 16:22:01,2019-11-14 16:16:05,15
LII,2008-08-01 14:52:05,2019-10-21 17:21:01,29
LIN,2017-10-30 16:19:05,2019-11-12 13:35:05,5
LINC,2008-08-06 15:44:01,2014-05-09 17:24:01,8
LIND,2015-08-07 11:49:04,2015-08-07 11:49:04,1
LINK,2008-05-15 16:31:01,2018-11-08 18:04:04,10
LIQT,2017-11-14 16:18:04,2019-11-14 17:01:02,7
LITE,2015-11-17 06:16:03,2019-10-31 08:37:00,13
LITH,2010-05-13 16:47:01,2014-05-20 14:16:01,11
LIVC,2018-05-16 15:53:01,2019-11-14 12:46:02,4
LIVE,2008-08-14 17:04:01,2019-02-13 08:02:01,7
LIVN,2015-11-06 12:48:03,2019-10-30 15:56:02,15
LIVX,2011-05-10 21:09:04,2015-08-18 14:51:05,4
LIXT,2015-05-13 09:03:01,2019-11-08 08:16:01,15
LJPC,2008-05-12 17:23:00,2019-11-12 16:04:04,22
LKCRU,2008-05-15 15:01:01,2019-11-14 16:45:01,36
LKFN,2008-05-07 15:32:00,2019-11-01 09:30:04,16
LKQ,2008-11-07 06:01:04,2019-11-05 15:40:03,8
LKSD,2016-11-10 16:17:04,2017-08-03 16:24:00,3
LKSDQ,2016-11-10 16:17:04,2017-08-03 16:24:00,3
LL,2009-11-04 07:02:00,2019-11-05 19:06:01,27
LLEX,2013-05-14 16:30:05,2019-11-07 17:22:05,13
LLIT,2011-08-11 15:17:00,2011-11-10 17:23:04,2
LLNW,2008-05-14 17:18:05,2019-10-17 14:42:01,21
LLY,2009-10-30 13:15:04,2019-10-25 11:54:05,27
LM,2012-08-07 11:54:01,2019-11-08 14:22:05,23
LMAT,2012-11-09 12:13:00,2019-11-08 16:09:05,7
LMB,2014-08-14 16:05:04,2019-11-14 17:20:03,17
LMBHW,2014-08-14 16:05:04,2019-11-14 17:20:03,17
LMFA,2018-05-14 17:27:01,2019-08-14 17:23:04,5
LMNR,2014-06-09 16:02:02,2019-09-09 16:37:04,15
LMNX,2008-05-09 09:56:02,2019-11-05 10:47:05,32
LMOS,2012-08-02 16:18:03,2017-11-08 16:54:05,17
LMRK,2015-05-07 06:25:04,2019-11-06 08:07:00,13
LMRKN,2015-05-07 06:25:04,2019-11-06 08:07:00,13
LMRKO,2015-05-07 06:25:04,2019-11-06 08:07:00,13
LMST,2008-05-13 16:30:05,2019-11-01 16:07:00,27
LMT,2008-04-24 15:32:00,2019-10-24 18:46:04,34
LNC,2016-05-05 12:09:00,2019-05-02 11:46:03,10
LNCE,2008-04-25 14:27:01,2017-11-09 15:16:01,30
LNDC,2018-01-05 15:52:00,2019-10-03 16:04:05,5
LNG,2010-08-05 19:55:03,2019-10-31 17:53:01,29
LNGB,2014-09-08 13:35:00,2019-11-19 18:19:04,17
LNN,2008-01-08 13:50:05,2019-07-09 17:02:01,30
LNT,2012-08-03 15:12:03,2019-11-07 12:15:03,23
LNTH,2015-08-04 17:36:03,2019-10-31 09:18:04,13
LOAC,2018-10-12 16:06:05,2019-10-16 17:01:05,4
LOACU,2018-10-12 16:06:05,2019-10-16 17:01:05,4
LOAN,2008-10-30 08:42:01,2019-10-21 07:01:02,16
LOB,2015-09-03 16:25:01,2019-05-07 16:22:05,12
LOCO,2014-09-04 17:55:03,2019-11-01 15:25:03,15
LODE,2014-04-28 16:21:01,2019-11-04 06:07:00,18
LOGC,2018-12-03 16:36:03,2019-11-12 16:11:02,4
LOGG,2013-06-03 18:36:01,2019-12-17 15:39:05,22
LOGI,2011-02-07 16:33:01,2019-10-24 19:18:01,26
LOGM,2009-08-06 08:00:03,2015-07-24 08:01:02,15
LOGQ,2008-05-07 11:20:05,2019-11-14 08:49:02,25
LONE,2016-08-19 16:44:01,2019-11-12 06:59:03,14
LOOP,2012-08-08 13:03:02,2019-10-08 08:52:00,5
LOPE,2009-04-27 19:45:02,2019-11-06 16:16:02,9
LORL,2009-11-09 16:44:02,2019-11-08 18:02:00,26
LOVE,2019-09-13 17:25:03,2019-12-18 16:53:05,2
LOVV,2014-12-02 14:46:03,2016-05-23 14:20:00,7
LOW,2008-09-03 17:17:02,2019-12-03 18:44:05,25
LOXO,2014-09-12 16:01:03,2018-11-08 16:31:03,14
LPCN,2012-10-26 17:24:03,2015-11-12 16:04:04,3
LPI,2012-05-09 17:15:02,2019-11-06 16:31:01,25
LPLA,2008-05-15 16:42:00,2019-10-29 17:12:00,33
LPNT,2009-05-04 17:19:02,2013-04-29 19:59:01,11
LPSN,2010-08-06 12:40:02,2019-11-08 17:02:03,22
LPT,2008-05-08 15:34:00,2019-11-06 17:14:01,33
LPTH,2008-05-15 11:39:05,2019-11-07 16:01:04,21
LPTX,2017-05-12 06:55:04,2019-11-14 06:51:03,10
LQDA,2018-08-14 10:48:02,2019-11-13 17:13:00,5
LQDT,2008-02-08 11:49:00,2019-08-01 13:23:03,35
LQMT,2008-05-15 15:58:02,2019-11-12 16:32:00,22
LRCX,2008-03-31 17:15:03,2015-02-03 16:02:03,7
LRDG,2016-06-14 14:56:04,2019-12-26 06:19:00,7
LRMR,2014-08-14 16:14:00,2019-11-06 16:40:02,6
LRN,2012-05-09 14:56:05,2019-10-22 17:37:01,23
LSBK,2009-08-14 16:50:02,2019-11-13 15:24:02,28
LSCC,2010-08-06 17:00:03,2019-10-31 15:54:05,20
LSI,2010-05-07 08:00:04,2011-05-06 08:31:00,3
LSTR,2008-05-02 11:47:04,2019-11-01 11:15:00,29
LSXMA,2013-05-08 19:07:00,2019-11-12 06:24:01,21
LSXMB,2013-05-08 19:07:00,2019-11-12 06:24:01,21
LSXMK,2013-05-08 19:07:00,2019-11-12 06:24:01,21
LSXMR,2013-05-08 19:07:00,2019-11-12 06:24:01,21
LSYN,2016-08-05 16:09:04,2016-08-05 16:09:04,1
LTBR,2011-05-10 17:15:05,2019-11-05 17:01:01,29
LTC,2008-04-30 17:08:03,2019-10-31 16:37:03,30
LTDH,2016-08-10 12:28:01,2019-11-14 09:46:00,8
LTGJ,2010-10-28 11:32:01,2018-02-20 20:33:03,10
LTHM,2018-11-06 16:30:04,2019-11-06 16:27:03,4
LTRE,2009-05-12 16:34:03,2012-05-08 16:15:00,5
LTRPA,2019-08-07 16:43:03,2019-11-06 17:13:05,2
LTSH,2009-08-07 08:02:01,2019-11-08 08:05:00,22
LTSK,2009-08-07 08:02:01,2019-11-08 08:05:00,22
LTSL,2009-08-07 08:02:01,2019-11-08 08:05:00,22
LTUM,2008-05-27 17:08:02,2017-08-09 19:21:01,4
LUB,2008-03-24 17:29:04,2019-07-15 12:53:05,19
LULU,2012-06-07 08:45:00,2019-12-11 16:34:02,23
LUMO,2011-12-16 16:31:04,2019-11-06 16:23:01,25
LUNA,2013-05-09 16:56:00,2017-11-13 16:19:03,3
LUV,2008-07-25 19:32:01,2019-11-08 14:10:05,29
LUVU,2008-07-29 14:38:00,2012-05-15 09:57:00,10
LVBX,2019-05-20 17:05:04,2019-10-03 17:56:00,3
LVGO,2019-09-05 16:45:02,2019-11-07 17:37:05,2
LVS,2009-11-06 21:37:04,2019-10-25 16:25:00,25
LVXI,2017-11-14 12:31:02,2017-11-14 12:31:02,1
LW,2017-01-10 13:36:00,2019-10-02 12:50:02,9
LWAY,2017-05-18 17:15:03,2019-11-14 16:36:04,9
LWEL,2014-08-06 11:55:05,2019-11-14 14:15:04,17
LWLG,2008-11-14 15:55:03,2019-11-12 16:08:02,20
LXFR,2019-05-01 17:30:03,2019-10-30 16:50:05,3
LXP-PC,2008-11-07 17:39:02,2019-11-06 15:24:00,31
LXP,2008-11-07 17:39:02,2019-11-06 15:24:00,31
LXRP,2010-09-03 21:04:05,2018-07-13 06:09:01,24
LXRX,2009-04-29 17:26:03,2019-11-07 16:06:01,22
LXU,2008-05-06 17:20:02,2019-10-29 19:19:03,36
LYB,2011-11-01 17:11:05,2019-11-01 12:40:00,24
LYFT,2019-05-14 16:06:04,2019-08-13 16:28:02,2
LYTS,2009-09-02 11:11:03,2010-05-10 15:55:04,2
LYV,2009-05-07 16:45:05,2019-10-31 16:33:02,23
LZB,2008-02-19 18:13:05,2019-11-20 16:59:04,31
LZGI,2015-01-06 11:09:00,2015-01-06 11:09:00,1
MA,2008-04-29 14:56:04,2019-10-29 10:17:01,26
MAA,2012-05-04 12:57:01,2019-05-02 17:55:05,22
MAC,2008-05-19 12:41:01,2019-11-05 12:09:03,18
MACK,2012-05-15 12:07:04,2019-11-12 16:16:02,22
MAGAA,2010-01-14 15:07:00,2019-10-11 11:58:02,22
MAGE,2013-05-10 12:09:02,2019-11-14 17:28:02,11
MAN,2008-05-06 11:12:03,2019-05-09 18:08:00,15
MANH,2008-05-09 14:49:01,2014-04-29 17:13:04,10
MAR,2008-04-22 10:36:00,2019-11-05 14:32:05,37
MARA,2012-05-15 15:10:03,2019-11-08 16:28:00,19
MARK,2011-05-16 17:30:01,2018-08-14 17:09:03,18
MAS,2008-04-30 15:15:02,2014-10-28 13:59:00,10
MASI,2012-11-01 18:15:01,2019-10-30 17:19:01,19
MAT,2008-04-25 12:51:04,2019-11-12 16:26:00,15
MATN,2008-05-12 16:41:05,2019-11-19 17:25:01,35
MATR,2009-11-05 14:15:03,2018-08-09 14:17:03,22
MATW,2016-07-29 12:08:05,2019-08-02 13:19:03,10
MATX,2008-07-25 16:50:03,2019-11-07 19:14:01,24
MAXR,2019-05-09 16:31:03,2019-11-04 17:02:02,3
MAYS,2011-12-08 09:57:00,2012-06-07 08:34:01,3
MBCN,2008-05-15 08:29:05,2012-05-15 09:13:01,7
MBCQ,2014-12-29 16:48:05,2019-05-10 14:32:04,15
MBI,2009-08-06 06:16:01,2019-11-05 16:52:02,25
MBII,2013-09-13 16:06:02,2018-08-14 16:32:00,10
MBIN,2017-12-07 16:06:04,2019-11-08 16:07:00,7
MBINP,2017-12-07 16:06:04,2019-11-08 16:07:00,7
MBIO,2016-11-14 16:44:01,2019-11-12 08:01:05,9
MBOT,2008-05-05 21:08:05,2019-05-15 16:15:04,27
MBRX,2016-06-16 17:25:05,2018-05-14 16:01:01,8
MBUU,2014-03-10 20:57:04,2019-11-07 16:18:03,18
MBWM,2008-05-09 11:47:01,2019-11-06 08:24:02,24
MC,2014-05-22 15:47:01,2019-10-31 16:26:00,18
MCB,2017-12-18 20:17:05,2019-11-08 13:47:00,7
MCBS,2019-11-08 08:32:00,2019-11-08 08:32:00,1
MCC,2011-08-04 16:19:00,2019-08-08 17:40:05,17
MCCX,2012-12-26 12:23:03,2017-11-07 17:22:04,12
MCD,2008-05-06 11:51:05,2019-11-04 12:05:05,36
MCEP,2012-05-09 17:25:03,2019-10-30 16:31:04,24
MCF,2008-05-12 16:56:01,2019-11-12 09:03:02,20
MCFT,2015-11-05 18:24:00,2019-02-08 17:15:00,11
MCHP,2010-11-08 14:53:04,2019-11-06 12:46:00,26
MCHX,2013-05-08 16:50:02,2019-11-08 16:07:05,11
MCIG,2014-09-19 17:12:02,2015-01-30 07:09:02,4
MCK,2008-02-01 16:52:03,2019-10-30 16:03:03,35
MCMJ,2019-12-19 16:43:05,2019-12-19 16:43:05,1
MCO,2008-05-08 17:23:01,2019-08-01 21:29:03,6
MCRB,2015-11-12 17:12:01,2019-11-05 14:12:05,11
MCRI,2008-05-12 14:20:04,2019-11-07 13:01:01,31
MCS,2008-04-08 11:31:01,2019-08-06 10:38:02,10
MCTC,2009-01-13 17:43:05,2015-06-25 06:01:00,9
MCV,2011-08-04 16:19:00,2019-08-08 17:40:05,17
MCW,2019-10-04 20:56:05,2019-10-04 20:56:05,1
MD,2010-08-03 16:24:03,2019-08-01 16:30:01,21
MDB,2017-12-14 18:24:00,2017-12-14 18:24:00,1
MDC,2008-05-02 16:50:04,2019-10-30 17:02:01,11
MDCA,2008-05-02 12:44:04,2019-11-06 14:23:04,22
MDCL,2017-05-16 15:11:00,2019-11-12 16:07:00,12
MDEX,2008-08-14 16:53:04,2019-11-15 13:55:04,16
MDGL,2008-05-14 06:02:04,2019-05-08 06:03:04,33
MDIA,2019-12-20 06:08:02,2019-12-20 06:08:02,1
MDIT,2008-05-16 16:18:05,2018-11-14 16:02:05,19
MDLA,2019-09-12 16:06:05,2019-09-12 16:06:05,1
MDLQ,2017-05-12 06:46:02,2019-11-14 16:19:01,9
MDLX,2017-05-12 06:46:02,2019-11-14 16:19:01,9
MDLY,2014-11-13 17:18:05,2019-11-14 16:15:01,12
MDLZ,2008-05-02 15:38:05,2019-10-29 19:11:04,24
MDP,2011-10-26 16:47:02,2019-11-12 14:55:03,24
MDRIQ,2012-05-10 16:16:05,2018-10-30 16:30:01,20
MDRR,2019-08-13 16:19:00,2019-11-05 16:29:03,2
MDRRP,2019-08-13 16:19:00,2019-11-05 16:29:03,2
MDRX,2008-05-12 15:35:00,2019-05-03 08:01:04,13
MDT,2015-02-27 08:12:05,2019-08-30 06:46:03,14
MDTR,2014-08-19 17:29:03,2017-11-24 15:53:01,3
MDU,2012-05-04 10:00:01,2019-11-01 10:43:04,24
MDWT,2019-11-08 16:27:04,2019-11-08 16:27:04,1
MDXG,2008-08-14 17:00:02,2017-10-31 17:15:04,21
MDXL,2014-12-01 17:19:00,2019-11-14 12:31:02,17
MEC,2019-06-17 20:57:00,2019-10-31 16:49:00,3
MED,2014-11-10 16:10:05,2019-11-08 16:02:03,11
MEDP,2016-11-03 17:01:01,2018-07-31 16:03:03,6
MEDS,2009-05-20 15:31:02,2019-10-28 16:16:03,10
MEEC,2017-08-21 17:01:02,2017-08-21 17:01:02,1
MEET,2008-05-13 10:22:03,2019-11-07 17:32:05,15
MEI,2008-03-13 07:31:01,2019-12-05 07:10:02,37
MEIP,2011-02-07 11:23:05,2019-05-09 16:02:01,11
MELI,2008-05-15 15:46:05,2019-11-01 16:26:03,32
MELR,2015-05-15 09:11:05,2018-05-11 16:09:00,8
MER-PK,2008-05-08 16:50:05,2019-10-28 16:37:04,16
MERC,2008-07-31 17:21:00,2010-11-04 09:06:05,7
MESA,2008-02-14 17:28:02,2018-09-05 16:51:00,3
MET-PA,2008-05-09 06:07:05,2019-11-04 20:36:05,33
MET-PF,2008-05-09 06:07:05,2019-11-04 20:36:05,33
MET,2008-05-09 06:07:05,2019-11-04 20:36:05,33
METC,2019-08-13 16:41:04,2019-11-05 16:03:03,2
MFA,2008-04-30 12:02:03,2019-11-06 12:49:01,31
MFAC-WT,2019-11-13 16:50:05,2019-11-13 16:50:05,1
MFAC,2019-11-13 16:50:05,2019-11-13 16:50:05,1
MFCO,2011-08-12 10:53:00,2018-02-13 13:01:01,12
MFIN,2008-11-06 17:16:01,2019-11-01 16:10:03,27
MFNC,2008-05-15 09:25:01,2019-11-08 14:38:04,34
MFON,2015-11-12 17:00:00,2019-11-14 16:26:00,13
MFSF,2011-11-10 15:15:04,2019-11-06 14:02:05,19
MFST,2019-11-19 14:32:02,2019-11-19 14:32:02,1
MG,2009-10-30 15:29:00,2019-11-06 17:25:02,27
MGEE,2008-05-07 16:21:03,2019-11-06 12:28:01,34
MGEN,2014-08-14 17:21:00,2019-11-07 17:43:02,16
MGGI,2014-06-10 14:35:04,2016-06-02 17:18:03,3
MGHL,2011-05-12 11:00:04,2011-05-12 11:00:04,1
MGHLD,2011-05-12 11:00:04,2011-05-12 11:00:04,1
MGI,2008-05-12 17:15:05,2019-11-06 15:24:05,34
MGLN,2008-05-02 14:43:02,2019-11-01 15:13:05,36
MGM,2008-05-09 19:26:01,2017-11-09 12:01:05,24
MGNX,2013-11-12 16:08:05,2013-11-12 16:08:05,1
MGP,2016-08-08 06:07:05,2019-11-05 17:08:02,11
MGPC,2015-02-23 11:49:01,2019-05-21 17:01:04,18
MGPI,2008-02-07 16:56:05,2019-07-31 07:50:05,33
MGRC,2015-10-29 16:00:05,2019-04-30 16:15:00,11
MGTA,2019-05-09 08:11:05,2019-08-08 08:16:05,2
MGTI,2009-05-15 06:52:03,2019-11-14 16:16:04,25
MGTX,2018-08-08 16:23:01,2019-11-07 08:23:00,5
MGY,2018-11-13 17:27:02,2019-11-05 16:10:04,4
MGYR,2009-02-13 16:41:02,2019-08-14 11:10:05,32
MHH,2017-08-11 07:01:02,2017-08-11 07:01:02,1
MHK,2010-05-03 16:51:02,2012-05-04 16:55:05,6
MHLD,2011-11-08 17:10:05,2019-11-12 16:43:05,25
MHO,2010-10-26 15:09:04,2019-10-25 11:18:05,28
MHPC,2009-08-10 17:11:02,2019-11-12 14:31:00,3
MHTX,2010-05-17 12:11:02,2010-11-22 08:54:00,3
MIC,2008-05-08 06:29:05,2019-10-31 07:12:03,35
MICR,2009-05-11 17:21:01,2019-11-14 14:17:02,29
MIDD,2011-08-11 14:08:04,2019-11-07 16:32:05,24
MIGT,2017-05-15 08:11:05,2019-12-11 15:15:03,8
MIHI,2016-10-19 14:40:01,2018-03-19 13:56:02,6
MIK,2014-08-29 06:01:04,2019-12-06 12:30:02,17
MILV,2008-05-13 17:34:05,2008-05-13 17:34:05,1
MILVD,2008-05-13 17:34:05,2008-05-13 17:34:05,1
MIME,2018-08-09 16:21:04,2019-02-11 16:26:03,3
MIND,2008-06-03 14:25:00,2019-12-05 16:18:04,28
MINDP,2008-06-03 14:25:00,2019-12-05 16:18:04,28
MINI,2008-05-09 16:43:05,2019-04-23 15:38:00,31
MIRM,2019-08-28 16:21:01,2019-11-06 16:16:03,2
MIST,2019-06-19 16:06:05,2019-11-13 07:34:02,3
MITI,2009-11-13 11:29:00,2017-06-01 16:07:01,13
MITK,2017-05-04 18:26:01,2018-08-03 16:08:02,5
MITT,2016-11-04 13:59:05,2019-11-05 13:34:03,4
MJCO,2015-11-03 16:06:02,2015-11-03 16:06:02,1
MJDS,2011-09-23 12:50:03,2019-01-16 11:18:01,22
MJNE,2015-05-14 12:54:00,2019-12-12 18:39:02,4
MJTK,2016-05-23 14:21:03,2017-11-20 16:23:02,4
MJTV,2013-05-15 11:46:04,2018-11-19 13:17:03,8
MKC,2008-04-07 11:27:04,2019-10-01 16:29:03,15
MKCV,2008-04-07 11:27:04,2019-10-01 16:29:03,15
MKGI,2014-07-21 17:28:02,2019-10-15 16:25:05,19
MKL,2009-11-04 16:27:04,2019-10-29 20:50:00,30
MKRS,2012-05-15 07:01:00,2013-05-14 15:15:03,2
MKSI,2008-05-08 15:09:00,2019-05-08 14:03:01,19
MKTX,2008-05-12 16:45:05,2019-04-25 16:22:02,29
MKTY,2013-11-07 08:55:04,2017-11-02 08:56:01,5
MLAB,2010-02-16 13:22:03,2019-11-06 08:11:00,15
MLFB,2010-09-14 16:55:03,2013-06-07 17:46:02,10
MLHR,2010-04-07 16:05:02,2019-10-08 16:35:03,28
MLI,2014-10-24 15:21:04,2019-10-23 16:38:01,12
MLLS,2016-04-08 10:09:04,2019-03-15 16:10:01,14
MLM,2008-05-06 14:51:02,2018-05-08 16:42:00,30
MLND,2012-08-14 13:36:02,2019-11-13 07:22:04,22
MLNTQ,2012-05-10 16:04:05,2019-11-12 16:58:03,24
MLNX,2008-05-05 17:09:05,2019-11-07 16:06:02,33
MLP,2008-05-07 15:58:01,2013-11-12 06:13:02,18
MLPY,2016-11-02 16:09:02,2019-11-05 16:28:05,10
MLR,2018-05-09 17:16:01,2019-11-06 16:40:04,4
MLSS,2008-05-15 10:00:03,2015-05-14 16:52:02,17
MLVF,2015-08-13 14:36:00,2019-08-09 16:08:05,16
MMAC,2014-11-12 11:28:00,2018-08-08 21:26:01,3
MMC,2008-05-08 15:38:03,2019-10-30 08:08:04,26
MMI,2013-11-22 16:00:02,2019-11-08 06:26:04,18
MMLP,2008-05-07 16:31:05,2010-11-03 16:45:01,7
MMM,2008-05-02 17:16:01,2019-10-25 14:04:02,36
MMMB,2013-05-09 12:24:01,2019-12-09 07:01:01,21
MMMM,2018-05-21 16:55:04,2018-11-28 18:59:00,3
MMND,2014-04-30 14:41:01,2014-11-10 16:05:02,6
MMNT,2017-03-20 08:27:04,2019-07-02 08:59:04,7
MMS,2008-02-08 14:34:05,2019-02-07 11:01:00,34
MMSI,2008-05-09 16:41:03,2019-11-08 16:05:00,35
MMTRS,2008-05-15 16:04:02,2019-11-14 10:22:04,30
MN,2012-05-14 17:19:01,2019-11-14 14:12:05,24
MNCL,2019-05-10 06:41:04,2019-11-12 16:12:05,3
MNIQQ,2012-08-03 17:18:00,2019-11-13 16:16:00,22
MNK,2019-05-07 16:39:04,2019-11-05 16:59:02,3
MNKD,2008-05-09 15:53:03,2019-11-08 16:02:00,30
MNLO,2018-05-09 16:56:03,2019-10-31 16:54:02,6
MNPR,2018-05-11 13:31:04,2019-11-12 16:05:03,6
MNR-PC,2013-05-08 16:00:05,2019-05-09 16:16:04,20
MNR,2013-05-08 16:00:05,2019-05-09 16:16:04,20
MNRL,2019-05-20 06:33:02,2019-11-07 18:38:00,3
MNRO,2008-02-05 14:55:01,2019-11-07 16:13:01,33
MNSB,2019-05-15 15:03:01,2019-11-12 13:40:02,3
MNST,2008-05-12 13:58:02,2019-11-07 20:03:02,27
MNTA,2008-05-09 12:55:05,2019-11-04 17:19:04,36
MNTR,2015-05-13 16:06:02,2019-08-13 15:22:01,13
MNTX,2008-05-13 16:05:04,2019-11-08 10:06:00,34
MO,2008-08-07 10:24:00,2019-10-31 10:40:03,23
MOBL,2014-08-07 15:55:04,2019-11-01 16:24:00,13
MOBO,2013-11-19 11:57:02,2016-03-14 17:05:01,2
MOBQ,2017-05-16 17:22:05,2019-11-07 16:02:01,9
MOC,2014-08-13 06:55:04,2019-02-13 06:11:03,15
MOD,2008-02-04 17:15:03,2019-11-08 10:50:00,15
MODN,2014-02-11 20:28:02,2016-08-09 16:30:03,4
MOFG,2009-05-08 17:02:05,2019-11-07 15:00:05,33
MOG-A,2008-02-05 17:00:00,2019-07-26 11:35:05,36
MOG-B,2008-02-05 17:00:00,2019-07-26 11:35:05,36
MOH,2008-05-08 16:55:05,2019-10-30 12:30:01,28
MOJO,2010-05-17 16:08:03,2014-08-14 15:55:03,10
MOMC,2015-05-08 17:27:02,2015-11-04 16:50:05,4
MORE,2008-08-14 16:15:03,2017-08-03 16:41:03,28
MORN,2008-05-08 16:18:03,2011-05-04 16:16:01,9
MOS,2008-01-09 17:10:00,2019-11-05 16:19:05,35
MOSC-UN,2017-12-01 12:13:04,2018-05-14 16:06:05,2
MOST,2010-11-17 15:46:03,2015-11-06 11:42:01,6
MOSY,2008-05-09 17:20:01,2019-11-13 11:31:03,36
MOV,2008-05-29 16:57:01,2019-05-30 10:55:02,27
MOXC,2013-03-12 16:33:01,2019-08-14 16:46:03,10
MPAA,2008-02-08 18:58:01,2014-02-10 16:23:05,11
MPB,2009-05-11 12:32:00,2019-11-08 13:28:03,22
MPC,2011-08-09 13:42:01,2019-11-04 16:07:02,26
MPLX,2012-12-06 17:08:05,2019-11-04 16:11:04,22
MPME,2013-05-13 15:59:02,2017-08-16 11:34:03,11
MPW,2008-05-09 16:38:02,2018-11-09 17:07:02,27
MPWR,2008-07-31 16:07:05,2019-11-01 16:56:05,9
MPX,2016-08-01 15:07:02,2019-10-31 17:04:03,9
MR,2016-05-05 17:26:03,2016-05-05 17:26:03,1
MRBK,2018-11-14 14:36:01,2019-11-13 16:52:05,4
MRC,2011-08-15 11:19:03,2019-11-01 13:10:00,26
MRCC,2013-05-14 08:31:00,2019-11-06 16:34:03,21
MRGE,2015-03-23 15:42:03,2016-06-14 16:20:00,5
MRIN,2013-05-08 20:15:02,2019-11-12 17:38:05,18
MRK,2010-05-07 08:20:05,2019-11-05 16:43:00,26
MRKR,2016-04-14 16:39:03,2017-05-05 16:01:04,2
MRLN,2008-05-09 16:05:00,2019-11-01 14:55:05,34
MRMD,2015-08-19 17:00:01,2019-11-27 19:55:01,4
MRNA,2019-05-09 16:33:05,2019-11-06 16:01:05,3
MRNS,2014-09-12 15:00:01,2019-11-06 16:01:01,14
MRO,2009-11-06 14:56:03,2019-11-07 16:34:00,26
MRSN,2017-08-11 07:55:01,2019-11-06 09:01:02,8
MRT,2017-11-07 16:21:03,2018-08-08 16:21:04,3
MRTN,2010-05-10 08:06:00,2010-08-09 08:03:02,2
MRTX,2013-08-13 16:06:03,2013-11-12 08:00:04,2
MRVC,2008-05-12 06:10:03,2015-05-07 17:15:04,11
MRVL,2008-06-06 13:03:00,2019-12-04 17:18:01,30
MS-PA,2016-11-02 16:09:02,2019-11-05 16:28:05,10
MS-PK,2016-11-02 16:09:02,2019-11-05 16:28:05,10
MS-PL,2016-11-02 16:09:02,2019-11-05 16:28:05,10
MS,2016-11-02 16:09:02,2019-11-05 16:28:05,10
MSBF,2017-05-12 16:11:05,2019-11-08 16:13:00,8
MSBI,2016-08-15 11:04:00,2019-11-07 17:03:01,11
MSCI,2017-08-04 10:32:01,2019-05-03 10:58:05,6
MSEX,2008-08-06 16:15:04,2019-11-01 12:05:00,27
MSFG,2008-08-08 15:13:00,2015-11-06 11:07:01,23
MSFT,2008-01-24 16:17:03,2019-04-24 16:10:01,34
MSG,2015-11-05 16:13:03,2019-11-08 16:19:02,13
MSGN,2010-05-07 16:51:00,2019-11-07 16:19:03,29
MSGS,2015-11-05 16:13:03,2019-11-08 16:19:02,13
MSI,2008-05-07 16:06:03,2019-10-30 17:53:00,38
MSM,2008-01-10 16:25:05,2019-07-10 15:19:02,36
MSN,2008-02-14 16:45:03,2019-11-14 16:01:01,29
MSOF,2012-09-14 16:59:05,2019-09-10 17:04:00,22
MSON,2008-11-14 14:35:03,2019-11-07 16:44:02,24
MSRT,2017-08-14 17:03:00,2019-09-03 17:30:02,2
MSSV,2019-11-15 16:27:04,2019-11-15 16:27:04,1
MSTR,2008-08-05 12:45:01,2019-04-30 16:21:02,25
MSVB,2018-08-14 11:36:05,2018-08-14 11:36:05,1
MTB,2008-05-07 17:00:04,2016-11-03 19:15:03,17
MTBC,2014-08-28 08:38:04,2019-11-06 16:31:04,11
MTBCP,2014-08-28 08:38:04,2019-11-06 16:31:04,11
MTCH,2016-05-10 16:22:04,2019-11-07 16:16:00,12
MTD,2008-04-25 09:17:02,2011-08-01 11:07:04,9
MTDR,2012-05-15 17:08:02,2019-11-01 16:09:01,24
MTEM,2008-05-08 16:09:05,2019-11-12 17:01:03,36
